id,distance,duration
1614453,760,192
1614622,313,59
1615088,25,5
1615158,560,79
1618782,523,133
1620039,748,201
1623609,231,62
1624068,745,200
1627259,62,19
1627455,496,125
1629330,1297,268
1629740,406,120
1633173,95,14
1633225,154,31
1633839,113,26
1633933,169,34
1636810,114,43
1641060,368,135
1645724,216,38
1651228,183,54
1655446,123,29
1665516,590,133
1667732,181,65
1671260,2063,208
1673011,157,42
1676460,94,39
1677902,330,96
1683892,305,85
1684346,89,21
1687330,37,16
1693257,561,171
1699390,44,9
1711075,194,42
1721354,103,19
1724819,934,146
1725833,151,48
1725853,105,15
1738415,229,61
1740537,105,21
1750093,2442,273
1752371,77,13
1759087,56,37
1767543,884,163
1767569,263,82
1768239,579,147
1768673,24,5
1774026,354,87
1777429,114,39
1778650,227,81
1807012,82,36
1807493,336,134
1814061,205,66
1815551,199,36
1827177,168,44
1827653,77,18
1828443,182,68
1830541,163,28
1841832,479,123
1844117,358,121
1844877,251,59
1847664,82,19
1851403,193,42
1855096,242,26
1857226,1148,174
1861344,164,62
1864390,142,72
1864545,516,123
1865406,209,55
1868880,50,16
1869845,0,0
1885057,250,43
1886260,29,7
1887206,382,130
1897346,2412,397
1898486,140,29
1906323,312,114
1906681,143,28
1907229,354,76
1914841,348,61
1925206,180,47
1925714,39,7
1931763,53,12
1940496,233,40
1944564,199,44
1945508,172,45
1954263,150,58
1954514,51,9
1956312,150,32
1970257,45,7
1970756,13,2
1975404,213,44
1979461,244,71
1984709,318,63
1985338,53,17
1992217,100,17
1995487,242,70
1998111,52,19
2001534,180,59
2016198,329,66
2020034,402,101
2020393,406,142
2022751,128,38
2023326,172,42
2026910,102,29
2042095,141,25
2046634,257,102
2047469,92,30
2049672,169,69
2049955,186,39
2058119,8,2
2062696,69,25
2063077,3928,365
2072098,160,40
2072133,380,89
2074737,609,102
2088622,254,101
2093695,165,44
2104437,63,36
2105840,413,98
2111361,368,85
2115503,599,138
2119773,59,25
2124182,114,19
2126868,316,71
2130640,36,12
2134475,147,31
2135871,740,121
2139562,358,45
2154122,884,116
2160504,391,125
2166428,32,5
2169208,175,37
2172308,67,14
2175930,1491,231
2177440,594,104
2178509,199,89
2188233,549,99
2188308,151,43
2188507,288,70
2188561,70,40
2188919,246,83
2188976,371,110
2198399,9,1
2202505,45,20
2203283,443,133
2209353,515,127
2210105,162,56
2219978,163,38
2221057,88,18
2223743,202,79
2234256,958,135
2236226,408,112
2238488,31,5
2244652,408,112
2254431,298,69
2257205,134,38
2263794,349,62
2277754,1952,264
2279254,749,201
2298930,380,93
2299196,206,46
2302408,36,10
2304234,163,53
2305039,149,35
2310765,835,154
2311428,616,148
2314849,164,39
2315086,205,37
2337552,75,18
2340335,478,123
2349483,60,10
2355859,83,18
2362619,105,19
2366182,22,5
2371573,404,111
2374267,45,7
2374361,108,25
2387068,257,78
2391772,42,26
2396847,548,115
2400409,78,13
2404647,83,13
2412158,152,35
2420887,26,4
2423948,219,65
2432104,421,85
2436213,146,51
2455313,690,174
2455325,11,2
2460904,178,35
2466350,202,49
2468125,685,173
2477409,275,89
2477787,1262,217
2478558,434,127
2483759,245,94
2486953,237,75
2488520,582,136
2488837,604,183
